"Season","Sprite","Variant","Rarity","State","Disabled","Available"
"Runners Archive","Demon","Quack","N/A","not-found","no","no"
"Runners Archive","Punk","Base","Legendary","not-found","no","yes"
"Runners Archive","Punk","Gold","Special","found","no","yes"
"Runners Archive","Punk","Gummy","Special","found","no","yes"
"Runners Archive","Punk","Galaxy","Special","found","no","yes"
"Runners Archive","Punk","Holofoil","N/A","not-found","no","no"
"Runners Archive","Punk","Cube","Special","not-found","no","yes"
"Runners Archive","Punk","Gem","Special","not-found","no","yes"
"Runners Archive","Punk","Quack","N/A","not-found","no","no"
"Runners Archive","King","Base","Epic","not-found","no","yes"
"Runners Archive","King","Gold","Special","found","no","yes"
"Runners Archive","King","Gummy","Special","found","no","yes"
"Runners Archive","King","Galaxy","Special","found","no","yes"
"Runners Archive","King","Holofoil","Special","not-found","no","yes"
"Runners Archive","King","Cube","N/A","not-found","no","no"
"Runners Archive","King","Gem","N/A","not-found","no","no"
"Runners Archive","King","Quack","N/A","not-found","no","no"
"Runners Archive","Burnt Peanut","Base","Mythic","found","no","yes"
"Runners Archive","Burnt Peanut","Gold","N/A","not-found","no","no"
"Runners Archive","Burnt Peanut","Gummy","N/A","not-found","no","no"
"Runners Archive","Burnt Peanut","Galaxy","N/A","not-found","no","no"
"Runners Archive","Burnt Peanut","Holofoil","N/A","not-found","no","no"
"Runners Archive","Burnt Peanut","Cube","N/A","not-found","no","no"
"Runners Archive","Burnt Peanut","Gem","N/A","not-found","no","no"
"Runners Archive","Burnt Peanut","Quack","N/A","not-found","no","no"
"Runners Archive","Vini Jr","Base","Mythic","found","no","yes"
"Runners Archive","Vini Jr","Gold","N/A","not-found","no","no"
"Runners Archive","Vini Jr","Gummy","N/A","not-found","no","no"
"Runners Archive","Vini Jr","Galaxy","N/A","not-found","no","no"
"Runners Archive","Vini Jr","Holofoil","N/A","not-found","no","no"
"Runners Archive","Vini Jr","Cube","N/A","not-found","no","no"
"Runners Archive","Vini Jr","Gem","N/A","not-found","no","no"
"Runners Archive","Vini Jr","Quack","N/A","not-found","no","no"
"Runners Archive","Zero Point","Base","Mythic","found","no","yes"
"Runners Archive","Zero Point","Gold","Special","found","no","yes"
"Runners Archive","Zero Point","Gummy","Special","not-found","no","yes"
"Runners Archive","Zero Point","Galaxy","Special","found","no","yes"
"Runners Archive","Zero Point","Holofoil","Special","not-found","no","yes"
"Runners Archive","Zero Point","Cube","Special","found","no","yes"
"Runners Archive","Zero Point","Gem","Special","not-found","no","yes"
"Runners Archive","Zero Point","Quack","Special","not-found","no","yes"
"Runners Archive","Fishy","Base","Rare","found","no","yes"
"Runners Archive","Fishy","Gold","Special","not-found","no","yes"
"Runners Archive","Fishy","Gummy","Special","found","no","yes"
"Runners Archive","Fishy","Galaxy","Special","found","no","yes"
"Runners Archive","Fishy","Holofoil","N/A","not-found","no","no"
"Runners Archive","Fishy","Cube","Special","not-found","no","yes"
"Runners Archive","Fishy","Gem","N/A","not-found","no","no"
"Runners Archive","Fishy","Quack","N/A","not-found","no","no"
"Runners Archive","Striker","Base","Epic","found","no","yes"
"Runners Archive","Striker","Gold","Special","found","no","yes"
"Runners Archive","Striker","Gummy","Special","not-found","no","yes"
"Runners Archive","Striker","Galaxy","Special","not-found","no","yes"
"Runners Archive","Striker","Holofoil","Special","not-found","no","yes"
"Runners Archive","Striker","Cube","N/A","not-found","no","no"
"Runners Archive","Striker","Gem","N/A","not-found","no","no"
"Runners Archive","Striker","Quack","N/A","not-found","no","no"
"Runners Archive","Aura","Base","Epic","found","no","yes"
"Runners Archive","Aura","Gold","Special","not-found","no","yes"
"Runners Archive","Aura","Gummy","Special","not-found","no","yes"
"Runners Archive","Aura","Galaxy","Special","found","no","yes"
"Runners Archive","Aura","Holofoil","N/A","not-found","no","no"
"Runners Archive","Aura","Cube","N/A","not-found","no","no"
"Runners Archive","Aura","Gem","Special","not-found","no","yes"
"Runners Archive","Aura","Quack","N/A","not-found","no","no"
"Runners Archive","Boss","Base","Legendary","not-found","no","yes"
"Runners Archive","Boss","Gold","Special","not-found","no","yes"
"Runners Archive","Boss","Gummy","Special","found","no","yes"
"Runners Archive","Boss","Galaxy","Special","found","no","yes"
"Runners Archive","Boss","Holofoil","N/A","not-found","no","no"
"Runners Archive","Boss","Cube","Special","not-found","no","yes"
"Runners Archive","Boss","Gem","N/A","not-found","no","no"
"Runners Archive","Boss","Quack","N/A","not-found","no","no"
"Runners Archive","Grim","Base","Mythic","found","no","yes"
"Runners Archive","Grim","Gold","Special","not-found","no","yes"
"Runners Archive","Grim","Gummy","Special","found","no","yes"
"Runners Archive","Grim","Galaxy","Special","not-found","no","yes"
"Runners Archive","Grim","Holofoil","Special","not-found","no","yes"
"Runners Archive","Grim","Cube","Special","found","no","yes"
"Runners Archive","Grim","Gem","Special","not-found","no","yes"
"Runners Archive","Grim","Quack","N/A","not-found","no","no"
"Runners Archive","Air","Base","Rare","not-found","no","yes"
"Runners Archive","Air","Gold","Special","not-found","no","yes"
"Runners Archive","Air","Gummy","Special","not-found","no","yes"
"Runners Archive","Air","Galaxy","Special","found","no","yes"
"Runners Archive","Air","Holofoil","Special","not-found","no","yes"
"Runners Archive","Air","Cube","N/A","not-found","no","no"
"Runners Archive","Air","Gem","N/A","not-found","no","no"
"Runners Archive","Air","Quack","N/A","not-found","no","no"
"Runners Archive","Seven","Base","Legendary","found","no","yes"
"Runners Archive","Seven","Gold","Special","not-found","no","yes"
"Runners Archive","Seven","Gummy","Special","not-found","no","yes"
"Runners Archive","Seven","Galaxy","Special","not-found","no","yes"
"Runners Archive","Seven","Holofoil","Special","not-found","no","yes"
"Runners Archive","Seven","Cube","N/A","not-found","no","no"
"Runners Archive","Seven","Gem","N/A","not-found","no","no"
"Runners Archive","Seven","Quack","N/A","not-found","no","no"
"Runners Archive","Pollo","Base","Mythic","mastered","no","yes"
"Runners Archive","Pollo","Gold","N/A","not-found","no","no"
"Runners Archive","Pollo","Gummy","N/A","not-found","no","no"
"Runners Archive","Pollo","Galaxy","N/A","not-found","no","no"
"Runners Archive","Pollo","Holofoil","N/A","not-found","no","no"
"Runners Archive","Pollo","Cube","N/A","not-found","no","no"
"Runners Archive","Pollo","Gem","N/A","not-found","no","no"
"Runners Archive","Pollo","Quack","N/A","not-found","no","no"
"Runners Archive","Llama","Base","Mythic","mastered","no","yes"
"Runners Archive","Llama","Gold","Special","mastered","no","yes"
"Runners Archive","Llama","Gummy","Special","mastered","no","yes"
"Runners Archive","Llama","Galaxy","Special","mastered","no","yes"
"Runners Archive","Llama","Holofoil","N/A","not-found","no","no"
"Runners Archive","Llama","Cube","N/A","not-found","no","no"
"Runners Archive","Llama","Gem","Special","mastered","no","yes"
"Runners Archive","Llama","Quack","N/A","not-found","no","no"
"Runners Archive","Peely","Base","Mythic","mastered","no","yes"
"Runners Archive","Peely","Gold","Special","mastered","no","yes"
"Runners Archive","Peely","Gummy","Special","mastered","no","yes"
"Runners Archive","Peely","Galaxy","Special","mastered","no","yes"
"Runners Archive","Peely","Holofoil","Special","mastered","no","yes"
"Runners Archive","Peely","Cube","N/A","not-found","no","no"
"Runners Archive","Peely","Gem","N/A","not-found","no","no"
"Runners Archive","Peely","Quack","N/A","not-found","no","no"
"Runners Archive","Ironmouse","Base","Mythic","mastered","no","yes"
"Runners Archive","Ironmouse","Gold","N/A","not-found","no","no"
"Runners Archive","Ironmouse","Gummy","N/A","not-found","no","no"
"Runners Archive","Ironmouse","Galaxy","N/A","not-found","no","no"
"Runners Archive","Ironmouse","Holofoil","N/A","not-found","no","no"
"Runners Archive","Ironmouse","Cube","N/A","not-found","no","no"
"Runners Archive","Ironmouse","Gem","N/A","not-found","no","no"
"Runners Archive","Ironmouse","Quack","N/A","not-found","no","no"
